@relation training_set

@attribute ISBAD {FALSE,TRUE}
@attribute HTML_NUMCHARACTERS numeric
@attribute HTML_PERCENTSCRIPTCONTENT numeric
@attribute HTML_PERCENTWHITESPACE numeric
@attribute HTML_PERCENTUNOWNELEMENTS numeric
@attribute HTML_NUMSCRIPTS numeric
@attribute HTML_NUMSCRIPTSWRONGEXTENTION numeric
@attribute HTML_NUMBERIFRAMES numeric
@attribute HTML_NUMUNSAFEINCLUDEDURL numeric
@attribute IP_ADDRESS_A numeric
@attribute TOKEN_SUBDOMAIN_LENGTH numeric
@attribute TOKEN_NUMBER_SUBDOMAINS numeric
@attribute TOKEN_DOMAIN_LENGTH numeric

@data
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,9
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,21
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,15
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,14
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,21
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,20
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,11
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,7
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,13
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,20
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,27
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,25
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,8
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,26
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,15
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,14
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,14
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,20
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,13
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,13
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,14
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,13
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,22
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,21
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,12
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,25
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,15
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,24
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,23
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,22
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,14
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,15
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,23
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,15
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,12
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,15
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,14
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,14
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,14
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,14
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,11
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,20
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,20
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,15
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,13
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,23
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,20
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,13
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,21
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,8
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,13
